"","logFC","logCPM","PValue","FDR"
"YLR327C",-1.94119233645578,8.18313204903176,2.37997121644229e-280,3.20052038356569e-278
"YOL155C",-2.03955402133725,8.0118277240625,1.28483873060499e-278,1.68942017088661e-276
"YGL234W",-1.3884652154919,8.84014299047188,9.88474234647676e-270,1.27147870574137e-267
"YOR128C",-1.95508529251035,7.98307711452551,1.88936295463373e-264,2.37858736224846e-262
"YAR009C",-2.82711086693323,8.89757542222999,5.39755352790372e-261,6.65360921345965e-259
"YCL025C",-2.06650244950075,7.77766252690528,2.34343614253829e-255,2.82981870518348e-253
"YEL040W",-1.37656492204001,8.76494865554876,4.489987699471e-253,5.31345144355398e-251
"YCR005C",2.43213144974065,8.00211381609024,4.12790317877523e-248,4.78917708015942e-246
"YBR010W",1.33668144281799,9.12587405418783,5.56689348961202e-248,6.33448245731429e-246
"YPR036W-A",1.38064596182221,9.03576341414383,1.77035111251642e-247,1.97644670429428e-245
"YDR345C",-0.513666638977386,11.6415807371354,6.09190419521657e-239,6.67514761538823e-237
"YPR145W",-1.29310368623215,9.32203556946289,1.8523008955176e-234,1.99273898159594e-232
"YPR149W",-1.76685657148943,8.02482693689658,6.17043142349615e-232,6.5197219165762e-230
"YAL061W",-2.24687259554543,7.4258104407399,4.40892080813536e-227,4.57676919679595e-225
"R0030W",1.21732206013625,9.26133500706949,1.36663812436965e-226,1.39420651411986e-224
"YIL053W",0.610109180673957,11.2187966872023,3.75923904529529e-226,3.77007075101902e-224
"YMR008C",-2.00048562868421,7.94312967026451,1.96685071584848e-223,1.93964261427925e-221
"YKL152C",-0.326318052723526,12.9452760411403,1.46636870456813e-221,1.42237764343109e-219
"YBL003C",1.27329699456664,9.05616704787399,3.33583889181765e-217,3.1835739875621e-215
"YMR173W",-1.37482588098674,8.8397466282033,4.94999231661939e-209,4.64906421229157e-207
"YOR290C",-9.31538856886597,5.86950803408983,1.50593961409893e-206,1.3922882338474e-204
"YBR118W",-0.322529495796485,13.8014030245118,3.62367662202817e-206,3.2986607034678e-204
"YDL022W",-1.20318316496541,8.76970573916433,6.12809890663519e-196,5.49393351978188e-194
"YOL158C",-1.82729529184831,7.65088578644225,5.1216979769684e-183,4.52314730294359e-181
"YAR015W",-1.63749139716034,7.84111014878707,2.76549068614175e-180,2.40638358675011e-178
"YDR524W-C",2.1188884627198,7.88648618178035,4.42442750504268e-180,3.79410689091848e-178
"YOL016C",-1.2724210335616,8.5479328437761,1.54580235480962e-174,1.30664464762979e-172
"YMR105C",-1.18053057723983,8.92464569995379,2.22329532021329e-173,1.85285048023972e-171
"YBR196C",-0.603523559649878,11.0058645017038,1.2106600610991e-172,9.94927164100472e-171
"YCL040W",-0.459644041512852,11.4278321021158,5.85933234330188e-167,4.74926979113935e-165
"YDR019C",-2.81742517673928,6.38246871179406,9.85718525176992e-167,7.88175204523279e-165
"YER056C",-1.49291411586351,8.04659972190037,2.80321026723345e-165,2.21154602016271e-163
"YNL031C",1.08951083970411,9.69756369076186,1.5466710998596e-164,1.2041648549828e-162
"YBR011C",0.701575478784132,10.2566397841993,3.40176856552183e-163,2.6140603379471e-161
"YLR350W",1.11263444047574,8.97502301390736,8.53790233228055e-160,6.47676514103898e-158
"YLR355C",-0.771692137246929,9.76868448685349,2.07465950237408e-157,1.5538937057655e-155
"YJR104C",-0.656970500867258,10.8036294047997,9.34489064810527e-157,6.91171474560486e-155
"YMR011W",-0.398581335784757,11.7609898948359,9.80677909194718e-157,7.163791590994e-155
"YLR413W",-1.70421755791262,7.68688919079493,1.82361064709359e-154,1.31589075595765e-152
"YPR035W",-0.509887766012203,11.1480973345633,2.24865647056186e-154,1.60304823329091e-152
"YBR296C",-3.34506914683385,6.55101469653849,4.95626759468134e-154,3.4912184949678e-152
"YNL160W",-2.30180998349348,6.95313201646657,1.08558332363551e-150,7.55693708935448e-149
"YGR061C",-1.07042609320672,8.89086006347386,1.23555392302509e-149,8.50089832853427e-148
"YNL208W",-0.647955658793723,10.1528866509385,4.84109516284141e-143,3.29250115845203e-141
"YBR092C",-2.34782900634789,6.64384405669645,4.69664231528036e-142,3.15795824767203e-140
"YDR055W",-1.69012664015935,7.36424325073382,1.00403293787463e-137,6.67512684652158e-136
"YLL050C",0.984633355240361,9.0852817712085,1.14315379532124e-137,7.51560111879528e-136
"YKL056C",-0.490209580956075,10.9089084860113,1.19139731236457e-134,7.7467009860013e-133
"YPL019C",-1.67130917904709,7.48386853230089,1.97759085318879e-134,1.27189185633892e-132
"YDL039C",-2.27647929871334,6.52891672556693,9.55734670221335e-132,6.08073338032219e-130
"YLL024C",-0.611877866018796,10.7855002458929,1.9448984959658e-124,1.22425153198188e-122
"YHR136C",-4.12651164509359,5.26150377604669,5.08096664851284e-124,3.16463996413163e-122
"YLR180W",-0.929100812996878,8.93780949571552,2.73403049229935e-123,1.68513108572242e-121
"YHR183W",-0.677143244882772,9.81196926203093,4.90621609764007e-121,2.99279181956044e-119
"YLR359W",-1.14375658747374,8.76037547773179,2.88485904899487e-118,1.74180724417374e-116
"YLR194C",-1.04209739380202,8.72850598526854,1.149416921352e-114,6.86979790266643e-113
"YJL158C",-0.683641396911517,9.65539606759279,1.70553992672037e-114,1.00916797464044e-112
"YMR300C",-1.77838704140624,7.16319177513271,2.05462004913854e-114,1.20368186443096e-112
